# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.01471 0.00000 9.00000 0.0900000036 1.0816895926    0.090 -3.382  3.3668  5.193    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.45e-17      0.00 7.106e-01 2.746e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 13.224 23.644 19.070 17.331 14.809 13.291
0.01471 0.00000 9.00000 0.1000000015 1.1711064122    0.100 -3.221  3.3905  5.173    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.24e-17      0.00 7.106e-01 2.747e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.823 23.203 18.655 16.924 14.406 12.890
0.01471 0.00000 9.00000 0.1200000048 1.3193154741    0.120 -2.971  3.4245  5.138    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-16      0.00 7.105e-01 2.747e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.197 22.092 17.751 16.056 13.644 12.216
0.01471 0.00000 9.00000 0.1220560521 1.3327170758    0.122 -2.952  3.4266  5.135    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-16      0.00 7.105e-01 2.747e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.150 21.915 17.626 15.939 13.557 12.155
0.01471 0.00000 9.00000 0.1400000006 1.4384526719    0.140 -2.790  3.4443  5.103    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-16      0.00 7.104e-01 2.748e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.746 20.557 16.628 15.017 12.859 11.641
0.01471 0.00000 9.00000 0.1481855512 1.4809975641    0.148 -2.731  3.4500  5.091    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-16      0.00 7.104e-01 2.748e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.597 20.119 16.296 14.707 12.622 11.459
0.01471 0.00000 9.00000 0.1599999964 1.5372931554    0.160 -2.650  3.4578  5.075    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-16      0.00 7.103e-01 2.749e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.394 19.535 15.852 14.276 12.308 11.217
0.01471 0.00000 9.00000 0.2000000030 1.6938790862    0.200 -2.434  3.4765  5.031    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.16e-16      0.00 7.102e-01 2.750e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.856 18.186 14.787 13.254 11.540 10.598
0.01471 0.00000 9.00000 0.2500000000 1.8403257998    0.250 -2.232  3.4929  4.992    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.71e-16      0.00 7.102e-01 2.751e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.351 17.076 13.871 12.355 10.865 10.039
0.01471 0.00000 9.00000 0.3139314055 1.9800002304    0.314 -2.030  3.5062  4.942    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-16      0.00 7.104e-01 2.748e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.845 16.157 13.085 11.604 10.253 9.502
